path,source_stage,title,description,rows,columns,sha256
data/mechanisms/occupation_contributions.csv,mechanism analysis pipeline,Occupation contributions,Country-occupation contribution table used to decompose national exposure.,5335,13,8cd96d78900f54e6eae25f3ee2a090e5c97282c61dd44ff2c14633680c7051e8
data/robustness/alternative_exposure_occupation.csv,robustness analysis pipeline,Alternative occupational exposure estimates,ISCO-level comparison of primary Gmyrek scores with the Eloundou et al. exposure estimate.,40,6,2c2c4b561a93220f909acdd6bb7df0a705987b3f847e8bda397c5855775f2676
data/robustness/alternative_exposure_national.csv,robustness analysis pipeline,Alternative national exposure estimates,National exposure recomputed under the Eloundou et al. occupational exposure measure.,131,8,11112c9d4015f338ec8839151724cff8b74f80a68e46ca7186c6bdc3b26f83be
data/robustness/wc_boundary_sensitivity.csv,robustness analysis pipeline,White-collar boundary robustness,Robustness table for exposure results under alternative occupation-boundary definitions.,21,5,9d69ddd478aa5c7081d58eb611160b4f90ac72ab093622533c924b3f2b26a9c9
data/validation/adoption_gap.csv,validation analysis pipeline,Observed adoption gap,Country-level table comparing structural exposure with observed adoption/usage measures where available.,109,7,84b6708da625724c38d529a42865124120e6242036a2ad846fe90fe9887e945e
data/validation/occupation_validation.csv,validation analysis pipeline,Occupation-level validation,Occupation-level validation table for exposure and observed AI use patterns.,40,8,e61c3101700d31b74d0a16f15c16d7337b3dd537a74bbba3ee0596e52f1e3c2d
data/validation/observed_outcomes_vs_exposure.csv,paper validation table builder,Observed outcomes versus exposure,Paper Section 6 country-level analysis table for observed AI usage/adoption outcomes.,202,8,0b8119579da6518d1c025374b962629f4f54e9d0937c967948aec46c09b4fe70
data/validation/observed_outcomes_vs_exposure_stats.csv,paper validation table builder,Observed outcomes versus exposure statistics,Model statistics for Section 6 observed AI usage/adoption outcome fits.,3,5,df961e0f7bd170d7e88a81f7ce8d53c61db02cb14a24e191285645380dd4cd17
data/validation/microsoft_ai_diffusion_country_adoption.csv,Microsoft validation extraction,Microsoft AI Diffusion country adoption,"Project-authored country-level extraction from the Microsoft AI Diffusion public report table, used for validation plots after merging to national exposure by ISO-3 country code.",147,5,ea296af20f4a9391e4356a5918b9c5099bf19e28f40789b8eea6489aad5f794d
data/validation/adoption_predictor_grid.csv,paper validation table builder,Adoption predictor R-squared grid,R-squared grid for three adoption outcomes and eight predictor combinations.,24,9,133d11e95868fc67fea092504d284e0cba3e85f981a5b3580bfbd793236b0e71
data/validation/appendix_predicting_adoption_regressions.csv,paper appendix table builder,Adoption regression appendix table,Coefficient-level OLS results for adoption-predictivity appendix models.,24,25,049f086503501a20272ab9ca14c3779c793a38b4631895f558a0b5f4941c4c3b
data/validation/appendix_predicting_exposure_regressions.csv,paper appendix table builder,Exposure regression appendix table,Coefficient-level OLS results for exposure-predictivity appendix models.,8,25,a78944b45809391522f16d838ba21274d7e1137bb9f5e7f3aa473d2d341ab4db
data/indirect/remittance_weighted_exposure.csv,paper remittance table builder,Remittance-weighted exposure,Country-level direct and remittance-accounted exposure estimates used in the indirect exposure section.,126,9,bd9c4aad5766c5939126d10aa202f6437a713bda89b839fdfe9f54138e54ed41
data/indirect/remittance_data.csv,remittance analysis pipeline,Remittance enrichment data,Derived remittance summary variables used for indirect exposure analysis.,134,4,d7973bc3dfcc1f0438216c61b317eb9e2307872630c755101abf7736f217f8a2
data/aggregates/region_income_exposure_grid.csv,World Bank group aggregation pipeline,World Bank region-income exposure grid,Complete 7 region by 4 income-group exposure grid using measured exposure data and no imputation.,28,14,d35c4b6f9f66cb277b0cdb9b09f0aed9322b9a41ab340b68d225cbf7ed927c09
data/aggregates/region_exposure_marginals.csv,World Bank group aggregation pipeline,Region exposure marginals,Regional marginal exposure aggregates with macro and labor-force-weighted estimates.,7,13,a6dcfd8a7b62e9bc2d6caab3ad0e070ffcf9243017691acce7a281aef6540446
data/aggregates/income_exposure_marginals.csv,World Bank group aggregation pipeline,Income exposure marginals,Income-group marginal exposure aggregates with macro and labor-force-weighted estimates.,4,13,5762fc199246a6984f79df7a73fe6eb59382f17cc9dcaba2ee894713f7284e1c
data/aggregates/wb_group_exposure_exclusions.csv,World Bank group aggregation pipeline,World Bank group exclusions,Countries excluded from World Bank group exposure aggregates because measured exposure or classification data were unavailable.,6,10,03cc078831bf4d165e9f8cfe4ddd1c28834225b4a93a314cab134a6b573f5398
data/aggregates/national_exposure_map_data.csv,World Bank group aggregation pipeline,National exposure map data,Country-level table used for the national exposure map.,141,9,1a80771a089bdef735211f87cd9e5b53bb9dc0a056cdb1ddf7044e0378fcf7e0
data/coverage/sample_coverage_summary.csv,paper coverage table builder,Sample coverage summary,Paper sample coverage summary table.,5,2,d3cc4ef5d718ba7230b2f78edd6c68a63e76ebac54a8075b0333569457259cbb
data/coverage/country_exclusion_lists.csv,paper coverage table builder,Country exclusion lists,Country exclusion lists and reasons used in paper sample accounting.,4,2,ca650848ac2acbaa7f0dae521d39654e5c53bd42aaa4c01e750e2a882869e24b
data/paper_tables/structural_baseline_metrics.csv,paper mechanism table builder,Structural baseline metrics,Paper-facing structural baseline statistics.,4,3,d8a0c30596f8376abe23255b17436b7f0abc20b32a82b1fa4ab50a61fca21ab3
data/paper_tables/cross_country_labor_composition.csv,paper figure data builder,Cross-country labor composition,Paper-facing table for labor composition and national exposure patterns.,5,6,1edbcb234bfb71e87f6bea899182e25532a57fd845b93453459e0bfa907db748
data/paper_tables/validation_stack_compact.csv,paper validation table builder,Validation stack compact table,Compact paper-facing validation summary table.,3,5,83c3b3737aa4aad026b0c66980e6a8cb6f648f716b885172b5952d34e8645624
data/paper_tables/gmyrek_hierarchy_summary.csv,paper data appendix table builder,Gmyrek hierarchy summary,Paper-facing summary of the task-to-occupation aggregation hierarchy used to construct national AI exposure.,4,4,ffbd00a584ab025bf26e5851bda54077c3378a08c3e41d91d4bb087d6a1c05ba
data/indirect/remittance_corridor_evidence.csv,derived remittance evidence builder,Remittance corridor evidence,"Selected derived corridor evidence table for paper narrative claims, using KNOMAD 2021 bilateral remittance flows and World Bank 2024 remittance indicators where available.",6,16,fb7a1872b48d3b8ac73318194644c24cc8f0acfa3d406961c617d06cc304c2ab
data/validation/exposure_predictor_country_panel.csv,paper appendix table builder,Exposure predictor country panel,"Country-level predictor panel used to reproduce appendix exposure regressions, including white-collar share, log GNI, internet penetration, and O*NET cognitive-minus-physical score.",141,9,9bcab94bd651402d86957870299a303eca0e387da1876773102574df0ccf7e3a
data/robustness/alternative_exposure_summary.csv,aggregate robustness summary builder,Alternative exposure aggregate summary,Aggregate robustness correlations for alternative occupational exposure measures. H&L transformed score vectors are not redistributed because no standalone open-data redistribution license was identified.,2,10,bc6bbd2a39248210d776ef29abdf97ed9a676b4a1fd3e6297c3182b74f145049
data/mechanisms/gender_decomposition_summary.csv,paper mechanism summary builder,Gender decomposition summary,R-squared summary for white-collar and white-collar-plus-sales decompositions of measured gender exposure gaps.,2,8,114b191c60f6eef723e9a96bcf6eb4fdce6a3e1f53e9b5f41e493d5fd3b50c78
data/validation/openai_rank_quintile_summary.csv,paper validation summary builder,OpenAI rank quintile summary,Derived top/bottom exposure-quintile summary comparing national exposure ranks with OpenAI Signals matched-sample ranks.,2,11,f639caf9d94310e6b32a9d6aaeb9cca5f5cbfebb8eebf60624ab399a191c1228
